Country,Coffee type,Year Start,Year End,Total Production
Angola,Robusta/Arabica,883612800,915062400,5100000.0
Bolivia,Arabica,883612800,915062400,8280000.0
Brazil,Arabica/Robusta,883612800,915062400,2205660000.0
Burundi,Arabica/Robusta,883612800,915062400,29520000.0
Ecuador,Arabica/Robusta,883612800,915062400,72360000.0
Indonesia,Robusta/Arabica,883612800,915062400,437760000.0
Madagascar,Robusta,883612800,915062400,59520000.0
Malawi,Arabica,883612800,915062400,3840000.0
Papua New Guinea,Arabica/Robusta,883612800,915062400,81120000.0
Paraguay,Arabica,883612800,915062400,1920000.0
Peru,Arabica,883612800,915062400,126120000.0
Rwanda,Arabica,883612800,915062400,13380000.0
Timor-Leste,Arabica,883612800,915062400,0.0
Zimbabwe,Arabica,883612800,915062400,8940000.0
Congo,Robusta,883612800,915062400,180000.0
Cuba,Arabica,883612800,915062400,16800000.0
Dominican Republic,Arabica/Robusta,883612800,915062400,29220000.0
Haiti,Arabica,883612800,915062400,26340000.0
Philippines,Robusta/Arabica,883612800,915062400,40620000.0
Tanzania,Arabica/Robusta,883612800,915062400,44340000.0
Zambia,Arabica,883612800,915062400,3720000.0
Cameroon,Robusta/Arabica,883612800,915062400,66840000.0
Central African Republic,Robusta,883612800,915062400,12900000.0
Colombia,Arabica,883612800,915062400,652080000.0
Costa Rica,Arabica,883612800,915062400,146700000.0
Côte d'Ivoire,Robusta,883612800,915062400,119520000.0
Democratic Republic of Congo,Robusta/Arabica,883612800,915062400,44280000.0
El Salvador,Arabica,883612800,915062400,123300000.0
Equatorial Guinea,Robusta,883612800,915062400,60000.0
Ethiopia,Arabica,883612800,915062400,175680000.0
Gabon,Robusta,883612800,915062400,240000.0
Ghana,Robusta,883612800,915062400,3240000.0
Guatemala,Arabica/Robusta,883612800,915062400,293580000.0
Guinea,Robusta,883612800,915062400,25260000.0
Guyana,Robusta,883612800,915062400,360000.0
Honduras,Arabica,883612800,915062400,131700000.0
India,Robusta/Arabica,883612800,915062400,265020000.0
Jamaica,Arabica,883612800,915062400,1740000.0
Kenya,Arabica,883612800,915062400,70380000.0
Lao People's Democratic Republic,Robusta,883612800,915062400,10260000.0
Liberia,Robusta,883612800,915062400,1080000.0
Mexico,Arabica/Robusta,883612800,915062400,288060000.0
Nepal,Arabica,883612800,915062400,0.0
Nicaragua,Arabica,883612800,915062400,64380000.0
Nigeria,Robusta,883612800,915062400,3180000.0
Panama,Arabica,883612800,915062400,11520000.0
Sierra Leone,Robusta,883612800,915062400,1620000.0
Sri Lanka,Robusta/Arabica,883612800,915062400,2760000.0
Thailand,Robusta/Arabica,883612800,915062400,54960000.0
Togo,Robusta,883612800,915062400,19260000.0
Trinidad & Tobago,Robusta,883612800,915062400,1020000.0
Uganda,Robusta/Arabica,883612800,915062400,203160000.0
Venezuela,Arabica,883612800,915062400,95820000.0
Viet Nam,Robusta/Arabica,883612800,915062400,423120000.0
Yemen,Arabica,883612800,915062400,4140000.0
Angola,Robusta/Arabica,915148800,946598400,3300000.0
Bolivia,Arabica,915148800,946598400,9480000.0
Brazil,Arabica/Robusta,915148800,946598400,2854680000.0
Burundi,Arabica/Robusta,915148800,946598400,21060000.0
Ecuador,Arabica/Robusta,915148800,946598400,71880000.0
Indonesia,Robusta/Arabica,915148800,946598400,393420000.0
Madagascar,Robusta,915148800,946598400,25620000.0
Malawi,Arabica,915148800,946598400,3540000.0
Papua New Guinea,Arabica/Robusta,915148800,946598400,83220000.0
Paraguay,Arabica,915148800,946598400,1140000.0
Peru,Arabica,915148800,946598400,164640000.0
Rwanda,Arabica,915148800,946598400,18420000.0
Timor-Leste,Arabica,915148800,946598400,0.0
Zimbabwe,Arabica,915148800,946598400,7500000.0
Congo,Robusta,915148800,946598400,180000.0
Cuba,Arabica,915148800,946598400,19680000.0
Dominican Republic,Arabica/Robusta,915148800,946598400,36420000.0
Haiti,Arabica,915148800,946598400,23940000.0
Philippines,Robusta/Arabica,915148800,946598400,37320000.0
